"domain","linked_pairs","core_pairs","detected_rate","specification","omitted_terms"
"housing",2627,1,0.0381,"leave_out_mater_et_magistra","mater_et_magistra"
"demography_econ",567,3,0.5291,"leave_out_mater_et_magistra","mater_et_magistra"
"inflation_prices",787,1,0.1271,"leave_out_mater_et_magistra","mater_et_magistra"
"unemployment",3335,30,0.8996,"leave_out_mater_et_magistra","mater_et_magistra"
"wages_income",9776,44,0.4501,"leave_out_mater_et_magistra","mater_et_magistra"
"poverty_social",31354,586,1.869,"leave_out_mater_et_magistra","mater_et_magistra"
"macro_aggregates",1938,94,4.8504,"leave_out_pacem_in_terris","pacem_in_terris"
"euro_changeover",243,0,0,"leave_out_pacem_in_terris","pacem_in_terris"
"taxes_fiscal",14110,204,1.4458,"leave_out_pacem_in_terris","pacem_in_terris"
"business_comp",13143,121,0.9206,"leave_out_pacem_in_terris","pacem_in_terris"
"green_energy",1559,202,12.957,"leave_out_pacem_in_terris","pacem_in_terris"
"housing",2627,1,0.0381,"leave_out_pacem_in_terris","pacem_in_terris"
"demography_econ",567,3,0.5291,"leave_out_pacem_in_terris","pacem_in_terris"
"inflation_prices",787,1,0.1271,"leave_out_pacem_in_terris","pacem_in_terris"
"unemployment",3335,30,0.8996,"leave_out_pacem_in_terris","pacem_in_terris"
"wages_income",9776,44,0.4501,"leave_out_pacem_in_terris","pacem_in_terris"
"poverty_social",31354,583,1.8594,"leave_out_pacem_in_terris","pacem_in_terris"
"macro_aggregates",1938,94,4.8504,"leave_out_gaudium_et_spes","gaudium_et_spes"
"euro_changeover",243,0,0,"leave_out_gaudium_et_spes","gaudium_et_spes"
"taxes_fiscal",14110,198,1.4033,"leave_out_gaudium_et_spes","gaudium_et_spes"
"business_comp",13143,121,0.9206,"leave_out_gaudium_et_spes","gaudium_et_spes"
"green_energy",1559,202,12.957,"leave_out_gaudium_et_spes","gaudium_et_spes"
"housing",2627,1,0.0381,"leave_out_gaudium_et_spes","gaudium_et_spes"
"demography_econ",567,3,0.5291,"leave_out_gaudium_et_spes","gaudium_et_spes"
"inflation_prices",787,1,0.1271,"leave_out_gaudium_et_spes","gaudium_et_spes"
"unemployment",3335,30,0.8996,"leave_out_gaudium_et_spes","gaudium_et_spes"
"wages_income",9776,42,0.4296,"leave_out_gaudium_et_spes","gaudium_et_spes"
"poverty_social",31354,556,1.7733,"leave_out_gaudium_et_spes","gaudium_et_spes"
"macro_aggregates",1938,91,4.6956,"leave_out_populorum_progressio","populorum_progressio"
