scenario,voice,era,halfyear,platform_group,posts,interactions,interactions_observed,reach,interactions_per_post
strict,lay_media,pre,2022H1,facebook,580,150770,1,8999459,259.948275862069
strict,lay_media,pre,2022H1,web,1491,915523,1,10852104,614.032863849765
strict,creators,pre,2022H1,video,184,85883,1,588623,466.755434782609
strict,secular,pre,2022H1,web,2245,910603,1,25149942,405.613808463252
strict,portal,pre,2022H1,web,1364,656549,1,12488244,481.340909090909
strict,official,pre,2022H1,video,163,8023,1,506745,49.2208588957055
strict,creators,pre,2022H1,facebook,63,17352,1,933561,275.428571428571
strict,lay_media,pre,2022H1,video,529,41938,1,1911598,79.2778827977316
strict,official,pre,2022H1,other,44,183,1,7979,4.15909090909091
strict,official,pre,2022H1,facebook,165,26541,1,1119714,160.854545454545
strict,secular,pre,2022H2,web,2067,989980,1,24812808,478.945331398162
strict,lay_media,pre,2022H2,facebook,551,101887,1,6490841,184.912885662432
strict,portal,pre,2022H2,web,986,351461,1,8015313,356.451318458418
strict,official,pre,2022H2,web,6935,467822,1,6299046,67.4581110310022
strict,lay_media,pre,2022H2,video,399,15467,1,402320,38.7644110275689
strict,lay_media,pre,2022H2,web,1274,388046,1,4640778,304.588697017268
strict,creators,pre,2022H2,video,501,87416,1,1815959,174.483033932136
strict,official,pre,2022H2,facebook,150,19728,1,824342,131.52
strict,portal,pre,2022H2,facebook,24,917,1,128029,38.2083333333333
strict,official,pre,2022H2,video,74,345,1,15083,4.66216216216216
strict,creators,pre,2022H2,facebook,60,9698,1,562860,161.633333333333
strict,secular,pre,2022H2,video,18,552,1,13785,30.6666666666667
strict,secular,pre,2022H1,facebook,6,4332,1,347437,722
strict,portal,pre,2022H1,facebook,28,1992,1,180504,71.1428571428571
strict,secular,pre,2022H2,other,61,0,0.0163934426229508,10022,0
strict,official,pre,2022H2,other,7,20,1,1338,2.85714285714286
strict,lay_media,pre,2022H1,other,1,2,1,198,2
strict,creators,pre,2022H1,web,1,1142,1,14238,1142
strict,portal,pre,2022H2,video,2,2903,1,28594,1451.5
strict,secular,pre,2022H1,video,9,443,1,29028,49.2222222222222
strict,portal,pre,2022H1,video,3,4430,1,136465,1476.66666666667
strict,portal,pre,2022H1,other,1,0,1,128,0
strict,secular,pre,2022H2,facebook,2,162,1,88049,81
strict,lay_media,pre,2022H2,other,1,2,1,169,2
strict,official,pre,2023H1,web,7467,436725,1,5968224,58.487344314986
strict,creators,pre,2023H1,facebook,56,5236,1,325492,93.5
strict,secular,pre,2023H1,web,2485,933288,1,25458261,375.56861167002
strict,portal,pre,2023H1,web,1586,192962,1,3621072,121.665825977301
strict,creators,pre,2023H1,video,1250,192545,1,3588037,154.036
strict,lay_media,pre,2023H1,facebook,599,89483,1,5939279,149.387312186978
strict,lay_media,pre,2023H1,video,448,30816,1,1067555,68.7857142857143
strict,lay_media,pre,2023H1,web,1145,125942,1,1649750,109.993013100437
strict,official,pre,2023H1,facebook,200,27117,1,1174070,135.585
strict,official,pre,2023H1,video,74,918,1,45674,12.4054054054054
strict,portal,pre,2023H1,facebook,23,1351,1,136032,58.7391304347826
strict,secular,pre,2023H1,video,34,1238,1,142853,36.4117647058824
strict,official,pre,2023H2,web,7107,389046,1,5169597,54.7412410299705
strict,portal,pre,2023H2,web,942,106045,1,2556171,112.574309978769
